C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(239,4): error CS0012: The type 'ICoreReference' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(240,4): error CS0012: The type 'ISeriesTemplateContainer' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(240,4): error CS0012: The type 'IIndicatorCalculator' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(240,4): error CS0012: The type 'IXYDiagram' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(240,4): error CS0012: The type 'IDiagram' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(240,4): error CS0012: The type 'IAxisProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(241,4): error CS0012: The type 'IZoomablePane' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(241,4): error CS0012: The type 'IPane' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(241,4): error CS0012: The type 'IXYDiagramPane' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(241,4): error CS0012: The type 'ILinearLayoutItem' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(241,4): error CS0012: The type 'IGridLayoutItem' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
