"Assembly","SizeKB","OutFiles","OutKB","ElapsedSec"
"EventLogger.dll","5.5","3","2.6","1.6"
"BiotimeDevice.dll","8.5","4","5.5","1.9"
"SMDFastLane.dll","25","7","10.9","1.6"
"AlienAge.DataSync.v4.dll","8.5","5","6.4","1.4"
"AlienAge.Accounts.v4.dll","12","9","10.9","1.6"
"AlienAge.Semesters.v4.dll","11.5","3","10.5","2.1"
"AlienAge.ExtremeMessenger.v4.dll","12.5","4","10.6","1.8"
"AlienAge.CustomGrid.v4.dll","13.5","16","13.3","1.7"
"AlienAge.Security.v4.dll","22.5","9","27.1","1.8"
"AlienAge.CommonSettings.v4.dll","29","12","32.8","1.9"
"AlienAge.Connectivity.v4.dll","32","9","38.9","1.6"
"AlienAge.SubjectRegistration.v4.dll","36.5","3","65.4","2.6"
"AlienAge.ReportHeaders.v4.dll","56.5","24","103.8","2.4"
"AlienAge.GradingScales.v4.dll","70","12","107.3","3.2"
"AlienAge.TermlySettings.v4.dll","74.5","13","135.8","3.9"
"AlienAge.ArabicTheology.v4.dll","122","21","237.7","4.4"
"ExtremeMessenger.exe","433.5","19","501.6","1.8"
"LibraryManagement.exe","1300.5","50","2033.4","7.3"
"MarksEntry.exe","1697.5","52","2453.8","7.2"
"AlienAge.ReportDesigner.v4.dll","3619","9","4827.1","1.4"
"IXtreme.exe","45486","535","66349.7","30.4"
